Entity,Label,Ner_model
viroplexis,DISEASE,bc5dr
productive infection,DISEASE,bc5dr
gastroenteritis,DISEASE,bc5dr
hepatitis virus,DISEASE,bc5dr
angiotensin,CHEMICAL,bc5dr
Enjuanes,CHEMICAL,bc5dr
TRS,CHEMICAL,bc5dr
Meer,DISEASE,bc5dr
KEYS,CHEMICAL,bc5dr
Campanacci,DISEASE,bc5dr
Gastroenteritis Coronavirus,DISEASE,bc5dr
acute respiratory syndrome,DISEASE,bc5dr
Opstetten,CHEMICAL,bc5dr
coronaviruses TGEV,DISEASE,bc5dr
Yokomuri,CHEMICAL,bc5dr
coronavirus infectious bronchitis virus,DISEASE,bc5dr
vaccinia,DISEASE,bc5dr
peritonitis,DISEASE,bc5dr
E. coli,DISEASE,bc5dr
CcoV,CHEMICAL,bc5dr
Drosten,CHEMICAL,bc5dr
PLP,CHEMICAL,bc5dr
Haijema,CHEMICAL,bc5dr
"Shi et al., 1999; Sims et al., 2000; van der Meer",CHEMICAL,bc5dr
amino acid identity,CHEMICAL,bc5dr
infection,DISEASE,bc5dr
CORONAVIRUS,DISEASE,bc5dr
Syncytia,CHEMICAL,bc5dr
Krijnse-Locker,DISEASE,bc5dr
SARS,DISEASE,bc5dr
human disease,DISEASE,bc5dr
coronavirus,DISEASE,bc5dr
Gosert,CHEMICAL,bc5dr
bovine,CHEMICAL,bc5dr
Li,CHEMICAL,bc5dr
double-membrane,CHEMICAL,bc5dr
MHV,DISEASE,bc5dr
ER/Golgi,CELLULAR_COMPONENT,bionlp13cg
coronaviruses TGEV,ORGANISM,bionlp13cg
endoplasmic-reticulum-Golgi-intermediate compartment,GENE_OR_GENE_PRODUCT,bionlp13cg
human,ORGANISM,bionlp13cg
GFP,GENE_OR_GENE_PRODUCT,bionlp13cg
chromosomes,CELLULAR_COMPONENT,bionlp13cg
infectious clones,CELL,bionlp13cg
proteinase catalytic residues,GENE_OR_GENE_PRODUCT,bionlp13cg
small membrane,CELLULAR_COMPONENT,bionlp13cg
T7,GENE_OR_GENE_PRODUCT,bionlp13cg
mice,ORGANISM,bionlp13cg
cells,CELL,bionlp13cg
double-membrane vesicle,CELLULAR_COMPONENT,bionlp13cg
Golgi,CELLULAR_COMPONENT,bionlp13cg
clones,CELL,bionlp13cg
"Lai, 1992",GENE_OR_GENE_PRODUCT,bionlp13cg
"Li et al.,",ORGANISM,bionlp13cg
cell surface,CELLULAR_COMPONENT,bionlp13cg
3C-like,GENE_OR_GENE_PRODUCT,bionlp13cg
co-amino terminal replicase,CELLULAR_COMPONENT,bionlp13cg
replicase,CELLULAR_COMPONENT,bionlp13cg
host cell cytoplasm,CELL,bionlp13cg
CcoV,GENE_OR_GENE_PRODUCT,bionlp13cg
IBV,ORGANISM,bionlp13cg
Ziebuhr,GENE_OR_GENE_PRODUCT,bionlp13cg
positive-strand genome RNA,ORGANISM,bionlp13cg
cytoplasmic,ORGANISM_SUBSTANCE,bionlp13cg
exonuclease,GENE_OR_GENE_PRODUCT,bionlp13cg
feline infectious peritonitis virus,ORGANISM,bionlp13cg
single-stranded RNA molecule,GENE_OR_GENE_PRODUCT,bionlp13cg
human coronavirus,ORGANISM,bionlp13cg
RNA-dependent RNA polymerase,GENE_OR_GENE_PRODUCT,bionlp13cg
Enjuanes,ORGANISM,bionlp13cg
coronaviruses,ORGANISM,bionlp13cg
plaques,TISSUE,bionlp13cg
vaccines,ORGANISM,bionlp13cg
CEACAM,GENE_OR_GENE_PRODUCT,bionlp13cg
ERGIC,CELLULAR_COMPONENT,bionlp13cg
FIPV,ORGANISM,bionlp13cg
coronavirus replicase,ORGANISM,bionlp13cg
Golgi,ORGANISM_SUBSTANCE,bionlp13cg
Klumperman,GENE_OR_GENE_PRODUCT,bionlp13cg
membrane protein (M,GENE_OR_GENE_PRODUCT,bionlp13cg
host cellular membrane,CELL,bionlp13cg
viral cell,CELL,bionlp13cg
MHV replicase,ORGANISM,bionlp13cg
monolayer,CELL,bionlp13cg
cDNA clones,CELL,bionlp13cg
clone,CELL,bionlp13cg
"Snijder et al.,",ORGANISM,bionlp13cg
host cell surface,CELL,bionlp13cg
syncytia,CELL,bionlp13cg
ACE 2,GENE_OR_GENE_PRODUCT,bionlp13cg
PLP,SIMPLE_CHEMICAL,bionlp13cg
structures,TISSUE,bionlp13cg
seed stocks,ORGANISM_SUBSTANCE,bionlp13cg
mouse hepatitis virus,ORGANISM,bionlp13cg
PLP,GENE_OR_GENE_PRODUCT,bionlp13cg
KEYS,SIMPLE_CHEMICAL,bionlp13cg
cellular membranes,CELLULAR_COMPONENT,bionlp13cg
homologous RNA-RNA,CELLULAR_COMPONENT,bionlp13cg
amino acid,SIMPLE_CHEMICAL,bionlp13cg
coronavirus proteinase,ORGANISM,bionlp13cg
positive-strand RNA virus,ORGANISM,bionlp13cg
bovine coronavirus,ORGANISM,bionlp13cg
papain-like proteinase,GENE_OR_GENE_PRODUCT,bionlp13cg
carcino-embryonic antigen–cell adhesion molecule,GENE_OR_GENE_PRODUCT,bionlp13cg
cell,CELL,bionlp13cg
angiotensin converting enzyme 2,GENE_OR_GENE_PRODUCT,bionlp13cg
tissue,TISSUE,bionlp13cg
lumen,CELLULAR_COMPONENT,bionlp13cg
picornavirus 3C-like proteinase,ORGANISM,bionlp13cg
murine coronavirus,ORGANISM,bionlp13cg
genome,CELLULAR_COMPONENT,bionlp13cg
membrane,CELLULAR_COMPONENT,bionlp13cg
coronavirus,ORGANISM,bionlp13cg
cellular,CELL,bionlp13cg
host cells,CELL,bionlp13cg
cell-cell,CELL,bionlp13cg
endocytic vesicles,CELLULAR_COMPONENT,bionlp13cg
cats,ORGANISM,bionlp13cg
extracellular space,CELLULAR_COMPONENT,bionlp13cg
"Sawicki, 1986",GENE_OR_GENE_PRODUCT,bionlp13cg
proteinase,GENE_OR_GENE_PRODUCT,bionlp13cg
virions,ORGANISM,bionlp13cg
strand,CELLULAR_COMPONENT,bionlp13cg
Replicase gene proteins,GENE_OR_GENE_PRODUCT,bionlp13cg
"Heusipp et al., 1997",ORGANISM,bionlp13cg
Thiel,ORGANISM,bionlp13cg
E. coli,ORGANISM,bionlp13cg
nucleocapsid protein (N),GENE_OR_GENE_PRODUCT,bionlp13cg
Gosert,ORGANISM_SUBSTANCE,bionlp13cg
Krijnse-Locker,GENE_OR_GENE_PRODUCT,bionlp13cg
double-membrane vesicles,CELLULAR_COMPONENT,bionlp13cg
M,GENE_OR_GENE_PRODUCT,bionlp13cg
replicase,GENE_OR_GENE_PRODUCT,bionlp13cg
SARS,ORGANISM,bionlp13cg
Opstetten,ORGANISM_SUBSTANCE,bionlp13cg
ER,GENE_OR_GENE_PRODUCT,bionlp13cg
humans,ORGANISM,bionlp13cg
BCoV,ORGANISM,bionlp13cg
canine coronavirus,ORGANISM,bionlp13cg
TGEV,ORGANISM,bionlp13cg
MHV,ORGANISM,bionlp13cg
aminopeptidase N,GENE_OR_GENE_PRODUCT,bionlp13cg
Syncytia,CELL,bionlp13cg
intracellular,IMMATERIAL_ANATOMICAL_ENTITY,bionlp13cg
HCoV-229E,ORGANISM,bionlp13cg
cells,CL,craft
overhanging genomic sequence,SO,craft
gene deletion,SO,craft
wild-type,SO,craft
ORF,SO,craft
cats,TAXON,craft
toxic clones,CHEBI,craft
sequences,SO,craft
deletion,SO,craft
deletions,SO,craft
deleted,SO,craft
PLP,GGP,craft
mutations,SO,craft
introduced,SO,craft
viral,TAXON,craft
bovine,TAXON,craft
genomic clone,SO,craft
polyprotein,SO,craft
virus,TAXON,craft
genetic elements,SO,craft
genomic RNA,SO,craft
RNA,SO,craft
sites,SO,craft
amino acid,CHEBI,craft
genome RNA,SO,craft
coronavirus replicase proteins,GGP,craft
picornavirus 3C-like proteinase,GGP,craft
cDNA clones,SO,craft
human,TAXON,craft
strand RNA,SO,craft
genome,SO,craft
polyprotein cleavage sites,SO,craft
double-membrane vesicle,GO,craft
